mal_id,image_url,title,synopsis,is_franchise,year,score,source_LN,source_Manga,source_Original,source_Other,source_VN,genre_Action,genre_Adventure,genre_Comedy,genre_Drama,genre_Fantasy,genre_Gourmet,genre_Horror,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sports,genre_Supernatural,genre_Suspense,demo_Shounen,demo_Seinen,demo_Shoujo,demo_Josei,demo_Kids,season_spring,season_summer,season_winter,studio_rep_quality,producer_rep_quality,studio_rep_hype,studio_experience,episodes_log
52807,https://myanimelist.net/images/anime/1168/148347.webp,One Punch Man 3,"Earth is saved by heroes for now, but the large-scale battle between the Hero Association and the Monster Association is far from over. The dangerous hero hunter Garou is still on the loose despite the efforts to capture him, and the Monster Association has abducted a notable figure, leaving the Hero Association in turmoil. With a strict deadline for the rescue, the heroes set out in search of the monsters' hideout.

Though he is heavily injured, Garou is recruited by the Monster Association in the hope of making him a part of the leadership. In order to ascend the ranks, the hero hunter must first prove that he is ready to give up on his humanity by killing a hero. It does not take long for Garou to find his victim, but that very person is the oblivious Saitama, who effortlessly knocks him out.

This humiliating defeat causes Garou to be branded as a traitor by the monsters. Moreover, the next clash between the two associations approaches rapidly. As both sides are ready to engage in any tactics and use any pawns at their disposal, the safety of the world is at their mercy.

[Written by MAL Rewrite]",1,2025,4.75,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.154098360655738,7.216545776887331,12.44203531901974,61.0,2.5649493574615367
59027,https://myanimelist.net/images/anime/1697/151793.webp,Spy x Family Season 3,"Despite occasional setbacks, Operation Strix has remained on track to extract sensitive information from the enigmatic politician Donovan Desmond. To this end, spy Loid Forger has managed to maintain his pretend family consisting of his telepathic daughter, Anya; assassin wife, Yor; and their clairvoyant dog, Bond. Still the only one aware of everyone's true identities, Anya tries to sustain the family's cohesion while working to befriend Donovan's son Damian, her Eden Academy classmate.

However, Anya's efforts instead earn her another Tonitrus Bolt, bringing her closer to getting expelled and jeopardizing the operation's success. Hearing the news, Loid faints from shock. In his unconsciousness, he reminisces about his tragic past and his journey to becoming a spy. Realizing what Operation Strix means to him and the world, Loid finds renewed motivation. Although they each work toward their own covert goals, the Forgers continue to cherish their chaotic yet blissful family life.

[Written by MAL Rewrite]",1,2025,8.21,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.529652777777778,7.5266872517590775,13.446215038701038,25.0,2.6390573296152584
60098,https://myanimelist.net/images/anime/1959/151055.webp,Boku no Hero Academia: Final Season,"The final stages of an all-out war between heroes and villains unfold as the world watches its symbols of peace and destruction collide. When All Might is critically injured, global fear takes hold as the fate of society hangs in the balance, and the threat of All For One and Tomura Shigaraki makes it clear that the conflict is far from over.

As hope begins to fade, Izuku ""Deku"" Midoriya stands at the forefront, refusing to let the war end in despair. Pushed beyond his limits and supported by Katsuki Bakugou and other heroes fighting beside him, Deku becomes the central force opposing collapse. The conflict becomes a defining turning point for society—one where the future will be entrusted to the victorious side.

[Written by MAL Rewrite]",1,2025,8.71,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.58,7.5300318604006,12.059774387912876,1.0,2.4849066497880004
61026,https://myanimelist.net/images/anime/1276/151118.webp,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,"Oda Akira is the kind of guy who people forget is even there. His unassuming nature pays off, though, when his entire class is swept away to a fantasy world, and he slips easily into his new role as a silent assassin. Between his suspiciously high starting stats and too many details that don't fit, Akira is sure something is wrong. But digging into royal secrets is a dangerous game, and when Akira uncovers an evil scheme, he also makes a powerful enemy—the very king who brought him to this world! With the help of the elven spirit medium Amelia, can he find the power to set things right, and get his revenge?

(Source: Seven Seas Entertainment)",0,2025,6.57,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1935,7.011889801770535,10.996308939585864,20.0,2.5649493574615367
59846,https://myanimelist.net/images/anime/1190/151754.webp,Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,"Ever since childhood, Scarlet El Vandimion has preferred to deal with wrongdoers by using her fists. However, to preserve her family's image, she suppresses her instincts and tolerates the abuse inflicted by her childish fiancé, Second Prince Kyle Von Pallistan. Only Kyle's brother, First Prince Julius, is aware that there is more to Scarlet than meets the eye, but she cares little about his growing interest.

In the middle of a ball, Kyle accuses Scarlet of harassing Terenezza Hopkins, a commoner that has taken his heart. Scarlet's engagement to Kyle is nullified, leaving her outraged that all of her efforts to endure thus far have amounted to nothing. Scarlet dons her studded leather gloves, once again becoming the ""Mad Dog Princess."" Joined by Julius and werebeast Nanaka, Scarlet is ready to give filthy nobles a taste of their own medicine—one punch at a time.

[Written by MAL Rewrite]",0,2025,7.36,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.716875000000001,7.069652432877294,11.928943582570328,48.0,2.6390573296152584
54703,https://myanimelist.net/images/anime/1140/152364.webp,Fumetsu no Anata e Season 3,"Hundreds of years after the large-scale battle against the Nokkers in the city of Renril, the world is unrecognizable. Thanks to the immortal Fushi's efforts in dormancy, he has successfully created a world with modern infrastructure where he and every living species can live in peace. When he finally awakens from his slumber, Fushi is elated to try everything this new world has to offer and revive his friends from the past.

While exploring, Fushi runs into Yuuki Aoki, a lively middle school student, who is quick to welcome him and his friends into the house. As the group settles into their new home and learns more about the modern world, Fushi meets Mizuha, Yuuki's friend, who resembles someone familiar to him.

It turns out that Mizuha is the descendant of the Guardians: the people whose only goal is to keep Fushi safe. Like her ancestors, she grows fond of Fushi, which brightens up her life. However, as bizarre events occur when Mizuha approaches Fushi, it becomes clear that this new world is far from perfect.

[Written by MAL Rewrite]",1,2025,7.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.439285714285714,7.172025495776303,12.083458987969868,4.0,3.1354942159291497
57025,https://myanimelist.net/images/anime/1206/151772.webp,Tondemo Skill de Isekai Hourou Meshi 2,"After being summoned to another world, ordinary salaryman Tsuyoshi Mukouda has made a name for himself with his fabulous cooking. During his journey throughout different lands, he has even befriended the mythical wolf Fel and a slime named Sui. While enjoying a meal one day, the trio is interrupted by a tiny but rare pixie dragon who also wants a bite of their food. Like Fel and Sui, the dragon immediately falls in love with Mukouda's cooking and decides to become the man's familiar, receiving the name Dora-chan.

However, cooking is not Mukouda's only forte. His familiars' incredible strength constantly attracts the attention of guilds who ask for their help on different quests. In exchange, the guilds are able to process the game Mukouda and his familiars hunt, enabling their growing party to sample various kinds of monster meat. Continuing to travel around the world with his familiars, Mukouda always comes up with new mouth-watering recipes that will leave everyone hoping for a second serving.

[Written by MAL Rewrite]",1,2025,7.68,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.589032258064516,7.1996,13.391253646021843,31.0,2.5649493574615367
60303,https://myanimelist.net/images/anime/1163/151246.webp,"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!","In a world where nine different races coexist, humans ended up at the bottom of the hierarchy. Despite facing discrimination daily, a young human named Light leaves his family in hopes of becoming a great adventurer. While registering as one, however, Light ends up becoming a mere F-Rank adventurer due to his unimpressive skill, Unlimited Gacha, which allows him to materialize a randomly rolled card into existence.

Light is soon recruited to become the human representative of the Concord of the Tribes, a party that intends to represent all of the nine races. As the party ventures out to the Abyss, the world's toughest dungeon, his party suddenly decides to abandon him in its depths. Just as his death seems certain, Light rolls a Level 9999 card that summons a beautiful and strong maid named Mei.

Swearing her loyalty to Light, Mei sets out to eliminate his betrayers. Now nearly invincible with Mei, alongside other incredible summons, Light sets out to get his revenge.

[Written by MAL Rewrite]",0,2025,7.08,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.154098360655738,7.1147880102945615,12.44203531901974,61.0,2.5649493574615367
47158,https://myanimelist.net/images/anime/1699/151694.webp,Tomodachi no Imouto ga Ore ni dake Uzai,"Akiteru Ooboshi lives by one principle—efficiency above all. As the producer of the 05th Floor Alliance, a small game development circle composed of his fellow apartment tenants, he oversees the release of their latest title, The Night the Black Goat Screamed, which unexpectedly surpasses a million downloads. Thus, to secure the circle's future and steer their next projects toward even greater success, Akiteru turns to Honeyplace Works, a major company run by his uncle, Makoto Tsukinomori.

However, his uncle presents an unusual condition before accepting their partnership: Akiteru must pose as the boyfriend of his cousin, Mashiro. Seeing no reason to refuse—after all, it is the most efficient solution—Akiteru agrees for the sake of his team.

Unfortunately, adding to his troubles is Iroha Kohinata, the younger sister of his fellow developer and best friend, Ozuma. A relentless tease, Iroha takes special pleasure in breaking Akiteru's composure. Yet as the lines between work, school, and personal life begin to blur, Akiteru finds himself entangled between two girls who might just as well decide his entire future.

[Written by MAL Rewrite]",0,2025,6.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.788571428571428,7.02479278761295,11.971376006419527,7.0,2.5649493574615367
59644,https://myanimelist.net/images/anime/1599/155164.webp,Yasei no Last Boss ga Arawareta!,"Lufas Maphaahl, the Black-Winged Tyrant, was the Great Conqueror who once forged the world of Exgate into a single country. Her reign, supposedly one of fear, ended only when seven heroes rose to cast her down, bringing the player-driven event to a triumphant close—or so the player behind Lufas' avatar thought until a strange message from the goddess of Exgate summoned him into the game world.

The player then suddenly awakens in the body of Lufas two hundred years after her defeat, finding Exgate on the brink of extinction at the hands of the Devil King. Now, he must travel the world as Lufas to find her most loyal subjects, the Twelve Heavenly Stars, and discover the reason behind his summoning.

[Written by MAL Rewrite]",0,2025,7.47,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,6.912999503408579,10.52430594648344,1.0,2.5649493574615367
