mal_id,image_url,title,synopsis,source,genres,demographics,is_franchise,members,episodes,year,season,producer_id,studio_id,score
52807,https://myanimelist.net/images/anime/1168/148347.webp,One Punch Man 3,"Earth is saved by heroes for now, but the large-scale battle between the Hero Association and the Monster Association is far from over. The dangerous hero hunter Garou is still on the loose despite the efforts to capture him, and the Monster Association has abducted a notable figure, leaving the Hero Association in turmoil. With a strict deadline for the rescue, the heroes set out in search of the monsters' hideout.

Though he is heavily injured, Garou is recruited by the Monster Association in the hope of making him a part of the leadership. In order to ascend the ranks, the hero hunter must first prove that he is ready to give up on his humanity by killing a hero. It does not take long for Garou to find his victim, but that very person is the oblivious Saitama, who effortlessly knocks him out.

This humiliating defeat causes Garou to be branded as a traitor by the monsters. Moreover, the next clash between the two associations approaches rapidly. As both sides are ready to engage in any tactics and use any pawns at their disposal, the safety of the world is at their mercy.

[Written by MAL Rewrite]",Web manga,"['Action', 'Comedy']",['Seinen'],1,434945,12,2025,fall,"[16, 104, 306, 1261, 1365, 1501, 1992, 2232, 2424, 2425]",[7],4.75
59027,https://myanimelist.net/images/anime/1697/151793.webp,Spy x Family Season 3,"Despite occasional setbacks, Operation Strix has remained on track to extract sensitive information from the enigmatic politician Donovan Desmond. To this end, spy Loid Forger has managed to maintain his pretend family consisting of his telepathic daughter, Anya; assassin wife, Yor; and their clairvoyant dog, Bond. Still the only one aware of everyone's true identities, Anya tries to sustain the family's cohesion while working to befriend Donovan's son Damian, her Eden Academy classmate.

However, Anya's efforts instead earn her another Tonitrus Bolt, bringing her closer to getting expelled and jeopardizing the operation's success. Hearing the news, Loid faints from shock. In his unconsciousness, he reminisces about his tragic past and his journey to becoming a spy. Realizing what Operation Strix means to him and the world, Loid finds renewed motivation. Although they each work toward their own covert goals, the Forgers continue to cherish their chaotic yet blissful family life.

[Written by MAL Rewrite]",Manga,"['Action', 'Comedy']",['Shounen'],1,338414,13,2025,fall,"[16, 62, 1143, 1294, 1365, 2229, 3210]","[858, 1835]",8.21
60098,https://myanimelist.net/images/anime/1959/151055.webp,Boku no Hero Academia: Final Season,"The final stages of an all-out war between heroes and villains unfold as the world watches its symbols of peace and destruction collide. When All Might is critically injured, global fear takes hold as the fate of society hangs in the balance, and the threat of All For One and Tomura Shigaraki makes it clear that the conflict is far from over.

As hope begins to fade, Izuku ""Deku"" Midoriya stands at the forefront, refusing to let the war end in despair. Pushed beyond his limits and supported by Katsuki Bakugou and other heroes fighting beside him, Deku becomes the central force opposing collapse. The conflict becomes a defining turning point for society—one where the future will be entrusted to the victorious side.

[Written by MAL Rewrite]",Manga,['Action'],['Shounen'],1,299732,11,2025,fall,"[4, 53, 76, 166, 757, 1143, 1365, 1499, 2229]",[3045],8.71
61026,https://myanimelist.net/images/anime/1276/151118.webp,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,"Oda Akira is the kind of guy who people forget is even there. His unassuming nature pays off, though, when his entire class is swept away to a fantasy world, and he slips easily into his new role as a silent assassin. Between his suspiciously high starting stats and too many details that don't fit, Akira is sure something is wrong. But digging into royal secrets is a dangerous game, and when Akira uncovers an evil scheme, he also makes a powerful enemy—the very king who brought him to this world! With the help of the elven spirit medium Amelia, can he find the power to set things right, and get his revenge?

(Source: Seven Seas Entertainment)",Light novel,"['Action', 'Adventure', 'Fantasy']",[],0,169102,12,2025,fall,"[15, 73, 135, 140, 843, 1011, 1334, 1443, 1468, 1494, 2236]",[14],6.57
59846,https://myanimelist.net/images/anime/1190/151754.webp,Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,"Ever since childhood, Scarlet El Vandimion has preferred to deal with wrongdoers by using her fists. However, to preserve her family's image, she suppresses her instincts and tolerates the abuse inflicted by her childish fiancé, Second Prince Kyle Von Pallistan. Only Kyle's brother, First Prince Julius, is aware that there is more to Scarlet than meets the eye, but she cares little about his growing interest.

In the middle of a ball, Kyle accuses Scarlet of harassing Terenezza Hopkins, a commoner that has taken his heart. Scarlet's engagement to Kyle is nullified, leaving her outraged that all of her efforts to endure thus far have amounted to nothing. Scarlet dons her studded leather gloves, once again becoming the ""Mad Dog Princess."" Joined by Julius and werebeast Nanaka, Scarlet is ready to give filthy nobles a taste of their own medicine—one punch at a time.

[Written by MAL Rewrite]",Light novel,"['Action', 'Comedy', 'Fantasy', 'Romance']",[],0,164279,13,2025,fall,"[17, 166, 1211, 1416, 1468, 2074, 2592]",[839],7.36
54703,https://myanimelist.net/images/anime/1140/152364.webp,Fumetsu no Anata e Season 3,"Hundreds of years after the large-scale battle against the Nokkers in the city of Renril, the world is unrecognizable. Thanks to the immortal Fushi's efforts in dormancy, he has successfully created a world with modern infrastructure where he and every living species can live in peace. When he finally awakens from his slumber, Fushi is elated to try everything this new world has to offer and revive his friends from the past.

While exploring, Fushi runs into Yuuki Aoki, a lively middle school student, who is quick to welcome him and his friends into the house. As the group settles into their new home and learns more about the modern world, Fushi meets Mizuha, Yuuki's friend, who resembles someone familiar to him.

It turns out that Mizuha is the descendant of the Guardians: the people whose only goal is to keep Fushi safe. Like her ancestors, she grows fond of Fushi, which brightens up her life. However, as bizarre events occur when Mizuha approaches Fushi, it becomes clear that this new world is far from perfect.

[Written by MAL Rewrite]",Manga,"['Adventure', 'Drama', 'Supernatural']",['Shounen'],1,150938,22,2025,fall,"[213, 1468, 1797]","[1967, 2411]",7.45
57025,https://myanimelist.net/images/anime/1206/151772.webp,Tondemo Skill de Isekai Hourou Meshi 2,"After being summoned to another world, ordinary salaryman Tsuyoshi Mukouda has made a name for himself with his fabulous cooking. During his journey throughout different lands, he has even befriended the mythical wolf Fel and a slime named Sui. While enjoying a meal one day, the trio is interrupted by a tiny but rare pixie dragon who also wants a bite of their food. Like Fel and Sui, the dragon immediately falls in love with Mukouda's cooking and decides to become the man's familiar, receiving the name Dora-chan.

However, cooking is not Mukouda's only forte. His familiars' incredible strength constantly attracts the attention of guilds who ask for their help on different quests. In exchange, the guilds are able to process the game Mukouda and his familiars hunt, enabling their growing party to sample various kinds of monster meat. Continuing to travel around the world with his familiars, Mukouda always comes up with new mouth-watering recipes that will leave everyone hoping for a second serving.

[Written by MAL Rewrite]",Light novel,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",[],1,134536,12,2025,fall,[1856],[569],7.68
60303,https://myanimelist.net/images/anime/1163/151246.webp,"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!","In a world where nine different races coexist, humans ended up at the bottom of the hierarchy. Despite facing discrimination daily, a young human named Light leaves his family in hopes of becoming a great adventurer. While registering as one, however, Light ends up becoming a mere F-Rank adventurer due to his unimpressive skill, Unlimited Gacha, which allows him to materialize a randomly rolled card into existence.

Light is soon recruited to become the human representative of the Concord of the Tribes, a party that intends to represent all of the nine races. As the party ventures out to the Abyss, the world's toughest dungeon, his party suddenly decides to abandon him in its depths. Just as his death seems certain, Light rolls a Level 9999 card that summons a beautiful and strong maid named Mei.

Swearing her loyalty to Light, Mei sets out to eliminate his betrayers. Now nearly invincible with Mei, alongside other incredible summons, Light sets out to get his revenge.

[Written by MAL Rewrite]",Light novel,"['Action', 'Fantasy']",[],0,122261,12,2025,fall,"[104, 143, 306, 547, 1416, 2424, 2425, 2741]",[7],7.08
47158,https://myanimelist.net/images/anime/1699/151694.webp,Tomodachi no Imouto ga Ore ni dake Uzai,"Akiteru Ooboshi lives by one principle—efficiency above all. As the producer of the 05th Floor Alliance, a small game development circle composed of his fellow apartment tenants, he oversees the release of their latest title, The Night the Black Goat Screamed, which unexpectedly surpasses a million downloads. Thus, to secure the circle's future and steer their next projects toward even greater success, Akiteru turns to Honeyplace Works, a major company run by his uncle, Makoto Tsukinomori.

However, his uncle presents an unusual condition before accepting their partnership: Akiteru must pose as the boyfriend of his cousin, Mashiro. Seeing no reason to refuse—after all, it is the most efficient solution—Akiteru agrees for the sake of his team.

Unfortunately, adding to his troubles is Iroha Kohinata, the younger sister of his fellow developer and best friend, Ozuma. A relentless tease, Iroha takes special pleasure in breaking Akiteru's composure. Yet as the lines between work, school, and personal life begin to blur, Akiteru finds himself entangled between two girls who might just as well decide his entire future.

[Written by MAL Rewrite]",Light novel,"['Comedy', 'Romance']",[],0,110943,12,2025,fall,"[55, 58, 517, 1416, 1517, 1585, 2111, 2117, 2234, 3106]",[1547],6.5
59644,https://myanimelist.net/images/anime/1599/155164.webp,Yasei no Last Boss ga Arawareta!,"Lufas Maphaahl, the Black-Winged Tyrant, was the Great Conqueror who once forged the world of Exgate into a single country. Her reign, supposedly one of fear, ended only when seven heroes rose to cast her down, bringing the player-driven event to a triumphant close—or so the player behind Lufas' avatar thought until a strange message from the goddess of Exgate summoned him into the game world.

The player then suddenly awakens in the body of Lufas two hundred years after her defeat, finding Exgate on the brink of extinction at the hands of the Devil King. Now, he must travel the world as Lufas to find her most loyal subjects, the Twelve Heavenly Stars, and discover the reason behind his summoning.

[Written by MAL Rewrite]",Light novel,"['Action', 'Adventure', 'Fantasy']",[],0,106870,12,2025,fall,"[460, 577, 925, 1113, 1412, 2185, 2228, 2408]",[318],7.47
