mal_id,image_url,title,synopsis,source,genres,demographics,is_franchise,members,episodes,year,season,producer_id,studio_id,score
60543,https://myanimelist.net/images/anime/1721/149001.webp,Dandadan 2nd Season,"While the mission to exorcise Jin ""Jiji"" Enjouji's family home is underway, things are not going as expected. Momo Ayase narrowly evades an attempted abduction while Ken ""Okarun"" Takakura and Jiji are ambushed by the Kitou family—the unsettling landlords of the cursed estate. The trio's efforts threaten the foundation of this enigmatic town shrouded in legends and mysteries.

As Momo, Okarun, and Jiji are drawn deeper into the maze of folklore and supernatural entities, they must each utilize their unique powers if they want to survive and unravel the secrets of the uncanny town.

[Written by MAL Rewrite]",Manga,"['Action', 'Comedy', 'Supernatural']",['Shounen'],1,541968,12,2025,summer,"[17, 53, 62, 143, 577, 1365]",[1591],8.41
59062,https://myanimelist.net/images/anime/1682/150432.webp,Gachiakuta,"The inhabitants of a certain wealthy town think nothing of throwing objects away. However, their waste is priceless to Rudo, a resident of the town's slums. Despite the constant warnings from his adoptive father Regto, Rudo spends his days searching for reusable materials that would otherwise be sent to the giant disposal area known as the Pit. Due to its vastness, the Pit doubles as a means of criminal punishment; those dropped in are never to return again.

When Regto is murdered by a mysterious assailant, Rudo is falsely accused of the crime and thrown into the Pit. To his surprise, he awakens in a trash-filled area inhabited by enormous monsters formed from the junk. As the toxic air and Trash Beasts push Rudo to the brink of death, he is saved by Enjin, one of the Cleaners who wield weapons known as Vital Instruments to fight the monstrosities. Having gained his own Vital Instrument, Rudo soon joins the Cleaners in the hopes of finding a way to escape the Pit and avenge his father.

[Written by MAL Rewrite]",Manga,"['Action', 'Fantasy']",['Shounen'],0,482730,24,2025,summer,"[4, 53, 159, 238, 1284, 1542, 1856, 3155]",[3045],8.22
53065,https://myanimelist.net/images/anime/1024/150787.webp,Sono Bisque Doll wa Koi wo Suru Season 2,"After Marin Kitagawa introduced Wakana Gojou to the world of cosplay, he has been creating her outfits with ease. Even so, he still has a lot to learn, and every new lesson seems to strengthen his love for sewing and for the hina dolls his grandfather taught him to make.

Meanwhile, Kitagawa finds it harder and harder to hide her feelings for Gojou. Friends and strangers alike constantly mistake them for a couple, much to Gojou's embarrassment. After all, in his eyes, their worlds are far too different for anyone to think they could be romantically linked. However, as Gojou spends more time with Kitagawa and realizes that his passions are not ridiculed by other people, a relationship between the two no longer seems so far-fetched.

[Written by MAL Rewrite]",Manga,['Romance'],['Seinen'],1,460309,12,2025,summer,"[17, 58, 166, 719, 1211, 1416]",[1835],8.18
59845,https://myanimelist.net/images/anime/1744/150433.webp,Kaoru Hana wa Rin to Saku,"The all-girls Kikyo Private Academy and Chidori Public High School are polar opposites. With its prestigious history, Kikyo is attended by noble young ladies from distinguished families, while Chidori is infamously full of simple-minded delinquents. It is no surprise that their students clash with their differences.

Having a tall stature and fierce appearance, Chidori student Rintarou Tsumugi is often avoided by others despite his gentle heart. One day, while helping out at his family's patisserie, he meets a customer who, after a brief moment, runs away from him. The next day, the customer returns to apologize to Rintarou, introducing herself as the cheerful Kaoruko Waguri.

After spending time with Kaoruko, Rintarou appreciates that she does not judge him based on his appearance and looks forward to when they will meet again. However, when Rintarou discovers Kaoruko attends Kikyo, their relationship will challenge the social expectations and dynamics around them.

[Written by MAL Rewrite]",Web manga,"['Drama', 'Romance']",[],0,444117,13,2025,summer,"[17, 159, 166, 306, 1211, 1416, 1800]",[1835],8.52
59177,https://myanimelist.net/images/anime/1177/150344.webp,Kaijuu 8-gou 2nd Season,"Following the massive operation that led to the confinement of recent recruit Kafka Hibino, otherwise known as Kaijuu No. 8, the Defense Force has been puzzled by how to deal with him. Kafka is the first kaijuu to side with humans, and after careful consideration, he is eventually transferred to the Defense Force's First Division in the hope of adding his power to the strongest division, capable of handling any threat. However, some people are still doubtful about Kafka, and he must prove his worth in the next mission.

Kafka and the First Division are soon dispatched when a massive horde of ant-like kaijuu begins wreaking havoc. Thanks to the combined strength of Kafka's friend Kikoru Shinomiya and their captain, Gen Narumi, the mission seems to progress as it should. However, when Kafka fails to transform into his kaijuu form, the dreadful Kaijuu No. 9 joins the battle with only one goal—to eliminate him and steal his power. Although the situation is looking grim, Kafka must overcome his most difficult trial yet with the others if he wants to keep pursuing his dream: fighting side by side with his childhood friend and Third Division captain, Mina Ashiro.

[Written by MAL Rewrite]",Manga,"['Action', 'Fantasy', 'Sci-Fi']",['Shounen'],1,360619,11,2025,summer,"[16, 47, 323, 1143, 1365, 1858, 2229]",[10],7.79
58913,https://myanimelist.net/images/anime/1104/148614.webp,Hikaru ga Shinda Natsu,"It has been six months since Yoshiki Tsujinaka's best friend, Hikaru Indou, went missing in the mountains and returned a week later with no recollection of what had transpired. Certain that it is not the Hikaru he knows who came back, Yoshiki finally asks Hikaru about it. Suddenly, ""Hikaru"" reveals his true monstrous form and begs Yoshiki to keep it a secret, as he does not want to kill him.

Despite his paranormal nature, ""Hikaru"" seems almost innocent, full of childlike wonder and eager to experience the summer heat, the countryside, and all kinds of other things in a human body for the first time. And for Yoshiki, it matters little if ""Hikaru"" is a fake relying on stolen memories—as long as he never leaves again. As Yoshiki desperately clings to ""Hikaru"" in his intense grief, it becomes increasingly clear that something dangerous and supernatural may have descended from the mountains into their village.

[Written by MAL Rewrite]",Web manga,"['Horror', 'Mystery', 'Supernatural']",[],0,292421,12,2025,summer,"[1003, 1422, 1696, 1856]",[1893],8.02
60285,https://myanimelist.net/images/anime/1758/148719.webp,Sakamoto Days Part 2,"The legendary former hitman Tarou Sakamoto has thwarted numerous assassins after an enormous bounty on his head was issued. But he cannot seem to catch a break and simply take it easy with his beloved family. A mysterious and infamous figure known as Slur has brought a group of insane death row inmates to Japan, who hold back from nothing to eliminate their targets.

Sakamoto is not the only target—the criminals have been assigned to kill various other people, including the new hires at Sakamoto's convenience store, Shin Asakura and Lu Shaotang. The situation escalates even further when the Order, a group of the most skilled Japanese assassins, becomes involved. As the inmates begin wreaking havoc, Sakamoto and his allies must remain vigilant for the sake of everything they hold dear.

[Written by MAL Rewrite]",Manga,"['Action', 'Comedy']",['Shounen'],1,249145,11,2025,summer,"[16, 1365]",[73],7.91
58390,https://myanimelist.net/images/anime/1509/148453.webp,Yofukashi no Uta Season 2,"A human may become a vampire only if they fall in love with one—and 14-year-old Kou Yamori wishes for nothing more. Kou has decided to fall in love with a vampire named Nazuna Nanakusa, and he has only 10 months of nightly rendezvous left to realize his goal.

Kou's friends, Mahiru Seki and Akira Asai, are slowly coming to terms with the existence of vampires and Kou's decision to become one. As Kou realizes that a woman close to Mahiru is a vampire, he is unsure whether to support this relationship.

Meanwhile, Anko Uguisu, the human detective bent on killing vampires, closes in on Nazuna and her coven. When an encounter leaves one of the vampires seriously injured, they learn that their human memories hold the key to a weakness that can be their demise—and to protect Nazuna, Kou must find out about her past.

[Written by MAL Rewrite]",Manga,"['Romance', 'Supernatural']",['Shounen'],1,240185,12,2025,summer,"[17, 53, 62, 140, 169, 539, 577, 769, 1430, 1556, 1734]",[839],8.34
61322,https://myanimelist.net/images/anime/1785/151710.webp,Dr. Stone: Science Future Part 2,"After a strategic maneuver, Senkuu Ishigami's team stalls Dr. Xeno's more scientifically advanced forces. A ceasefire between the two factions allows for the establishment of Corn City in North America, a hope for a future thriving population. Meanwhile, Senkuu and some of his teammates rush toward the Amazon in South America—the epicenter of the petrification beam's impact—to create Superalloy City and progress their spaceship project.

With dangerous enemies still pursuing Senkuu and his companions, it is a race against time to reach the heart of the dense Amazon. As unexpected allies and scientific creations further fuel this leg of their journey, Senkuu is closer than ever to finally uncovering the mystery behind the petrification phenomenon.

[Written by MAL Rewrite]",Manga,"['Adventure', 'Comedy']",['Shounen'],1,220368,12,2025,summer,"[1143, 1365]",[73],8.52
59459,https://myanimelist.net/images/anime/1669/149732.webp,Silent Witch: Chinmoku no Majo no Kakushigoto,"In the Kingdom of Ridill lives a genius magician known to be the first person to ever use chantless magic. With this amazing skill, Monica Everett joins the Seven Sages as a hero who can defeat powerful dragons, such as the legendary black dragon, all on her own. However, the truth is that the Silent Witch developed chantless magic due to being too shy—preferring to live on a mountain top, far from society.

Her secluded lifestyle changes, though, when a fellow sage tasks her to covertly defend the second prince, Felix Arc Ridill, from attempts on his life. Unfortunately, that means she will have to go undercover as a student at Serendia Academy. Between guard duty and her social anxiety, Monica is facing her most difficult mission to date.

[Written by MAL Rewrite]",Light novel,['Fantasy'],[],0,212647,13,2025,summer,"[17, 166, 213, 1211, 1416, 1587, 1696]",[418],8.11
